Name,Year of release,Number of Episodes,Rating,Synopsis,Genre,Director,Cast,Rank
Little Women,2022,12,8.6,"About three sisters with a close bond who grew up in poverty. It is the exciting story of the sisters as they get embroiled in a major incident and face off against the wealthiest family in the nation. Kim Go Eun plays the eldest sister Oh In Joo, who wants to protect her family with money. Growing up in extreme poverty, her only dream was to live as well off as other normal people, but a major incident completely shakes up her life. Nam Ji Hyun takes on the role of the second sister Oh In Kyung, a news reporter who does not want to bow down to money and aims to always do what’s right. When a mysterious case from her early reporter days returns close to her, she starts digging for the truth. Park Ji Hu transforms into Oh In Hye, the youngest overwhelmed by the love of her older sisters who work hard for her. Although she has never even used decent art supplies due to their family’s financial situation, she enters an art high school with her natural talent.","Action, Thriller, Mystery, Drama",Kim Hee Won,"Kim Go Eun, Nam Ji Hyun, Park Ji Hoo, Wi Ha Joon, Uhm Ki Joon, Uhm Ji Won",#75
Ghost Doctor,2022,16,8.6,"Cha Young Min is a genius doctor, with excelling skills at surgery, but he is arrogant and selfish. One day, he gets involved in an accident and due to this, his spirit possesses another doctor's body, Seung Tak. These two doctors are complete opposites, with opposite personalities and medical abilities. Young Min is arrogant and cold-blooded, only cares about his career and doesn't care about any of his patient's personal stories. Seung Tak is the luckiest and richest resident doctor whose grandfather is the founder of Myung-shin hospital and whose mother is the chairman of the hospital. Never wanting to be a good doctor, he becomes possessed by a ghost doctor.","Comedy, Medical, Fantasy, Supernatural",Boo Sung Chul,"Rain, Kim Bum, Uee, Son Na Eun, Sung Dong Il, Tae In Ho",#76
Eulachacha Waikiki,2018,20,8.6,"Three very different young men – Dong Goo, the bad luck incarnate who dreams of becoming a film director, Joon Ki, an eccentric actor who performs to make a living, and Doo Shik, a freelancer writer who fiddles around doing nothing most of the time - open a guest house named “Waikiki” in Itaewon where many foreigners come to stay.  Although they have no clue how to run it, they’re eager to earn money to pay for the production of their upcoming film.","Comedy,  Life,  Youth,  Drama ",Lee Chang Min,"Kim Jung Hyun, Lee Yi Kyung, Son Seung Won, Jung In Sun, Go Won Hee, Lee Joo Woo",#77
The Bridal Mask,2012,28,8.6,"Lee Kang To is an ambitious and callous Korean officer employed by the Japanese colonists. Despite his mother's disapproval of his work and his own brother's antagonistic history with the Japanese, Kang To continues to play by the colonist's rules in hopes of becoming successful and bringing his family out of poverty. However, a mysterious figure wearing a traditional Bridal Mask always seems to get in Kang To's way. The Bridal Mask appears as a Zorro-like figure who protects the people from the Japanese colonists' oppression and abuse of power. An unexpected turn of events brings Kang To to cross paths with the mysterious Bridal Mask, changing his future and the nation's history forever. ","Action,  Historical,  Romance,  Political ","Yoon Sung Shik, Cha Young Hoon","Joo Won, Jin Se Yeon, Park Ki Woong, Han Chae Ah, Shin Hyun Joon, Chun Ho Jin",#78
Children of Nobody,2018,32,8.6,"Cha Woo Kyung is a child counselor who works at a children’s center. Her life seems perfect since she is married to a great husband and is pregnant. However, her perfect life doesn't last long, when an accident changes her life. She then meets Kang Ji Hun, a detective who is strict toward criminals and believes they should be punished to the full extent.","Thriller,  Mystery,  Psychological,  Crime,  Drama ",Choi Jung Gyu,"Kim Sun Ah, Lee Yi Kyung, Nam Gyu Ri, N, Joo Seok Tae, Na Young Hee",#79
Good Manager,2017,20,8.6,"Can corporate politics turn a bad person into a good person? Kim Sung Ryong is a skilled accountant who works for gangsters. He makes his way into a company called TQ Group as a middle manager in the accounting department with the intention of embezzling money from the company. As he contends with hot-shot accountant Yoon Ha Kyung, financial prodigy Seo Yul and peppy intern Hong Ga Eun, Sung Ryong finds himself embroiled in office politics and notices other shenanigans by those in power that threaten to bring down the company. Sung Ryong slowly comes to realize that he’d rather fight against corporate corruption and fight for employees’ rights than complete the mission he originally came to do. Can he succeed at his new objective against all odds?","Business,  Comedy,  Crime,  Drama ","Lee Jae Hoon, Choi Yoon Seok","Namkoong Min, Nam Sang Mi, Lee Jun Ho, Jung Hye Sung, Kim Won Hae, Kim Kang Hyun",#80
The King of Pigs,2022,12,8.6,"Two friends meet up and recall their experiences as victims of school bullying when they receive a message from a friend from 20 years ago and mysterious serial killings begin to occur. Kyung Min lives with the trauma of the school violence he experienced twenty years ago and an unexpected case causes his suppressed emotions to reappear. Meanwhile, Detective Jong Suk receives a mysterious message sent from a friend from 20 years ago which reminds him of the school violence that took place back then. Chasing the mysterious message, he tries to put a stop to the murders. Through these characters with tragic fates, the drama touches on the origin of school violence and the bullying that pervades modern society.","Thriller, Mystery, Drama",Kim Dae Jin,"Kim Dong Wook, Kim Sung Gyu, Chae Jung An, Choi Hyun Jin, Sim Hyun Seo, Lee Chan Yoo",#81
Big Mouth,2022,16,8.6,"Park Chang Ho is known since his school days as ""Big Mouth"" because he talks big and promises big things but can not follow it up. He is also an infamous lawyer with a very low rate of success who was hired by a Mayor because of his incompetence. Unfortunately, he was framed as the notorious and mysterious swindler ""Big Mouse"" and sent to prison. Go Mi Ho is Park Chang Ho's loving wife who works as a nurse. She has strong personality and will do anything to prove the innocence of her husband and help solve the case the Mayor has given to her husband. Will Go Mi Ho be successful in proving her husband's innocence? Or, will her investigations lead to opening a can of worms?","Thriller, Mystery, Law, Drama","Oh Choong Hwan, Bae Hyun Jin","Lee Jong Suk, Im Yoon Ah, Kim Joo Heon, Kwak Dong Yeon, Yang Kyung Won, Ok Ja Yeon",#82
Go Back Couple,2017,12,8.6,"38-years-old married couple, Choi Ban Do and Ma Jin Joo, were in love when they got married but now, hate each other and regret marrying at such a young age. Choi Ban Do has been burdened with being the breadwinner, and Ma Jin Joo is a housewife with low self-esteem. The couple travels through time and finds themselves as 20-year-old university students when they met for the first time.","Comedy,  Romance,  Life,  School,  Drama,  Family,  Supernatural ",Ha Byung Hoon,"Jang Na Ra, Son Ho Jun, Heo Jung Min, Han Bo Reum, Jang Ki Yong, Go Bo Gyeol",#83
Empress Ki,2013,51,8.6,"Genghis Khan built an empire that spanned vast regions in East Asia and East Europe. And there was one woman who held immense power in the Yuan Dynasty, which Genghis Khan founded, for 37 years. She was neither of Mongol descent nor from the Han Chinese. She came from Goryeo, a small kingdom in the Far East. She was taken to Mongol against her will as a Gungnyeo (palace women) but somehow overcame her lowly status to become the last  empress in another land. Her name was Empress Ki.","Historical,  Romance,  Melodrama,  Political ","Han Hee, Lee Sung Joon","Ha Ji Won, Ji Chang Wook, Joo Jin Mo, Baek Jin Hee, Kim Ji Han, Kim Seo Hyung",#84
My Father is Strange,2017,52,8.6,"This drama is about a family that lives on the outskirts of Seoul. Byun Han Soo is the father and His wife, Na Yeong Shil is a dedicated, responsible mother to his three daughters and one son including Hye Yeong, Mi Yeong, Ra Yeong, and Joon Young. Suddenly one day, Ahn Joong Hee shows up at the household and declares that he is the son of the family. Joong Hee is an actor who used to be a member of an idol group. He begins to live with them.","Comedy,  Romance,  Drama,  Family ",Lee Jae Sang,"Kim Yeong Cheol, Kim Hae Sook, Ryu Soo Young, Lee Yoo Ri, Lee Joon, Jung So Min",#85
Once Again,2020,100,8.6,"""Once Again"" is the story of the eventful Song family who can’t get a day of peace and their neighbors in Yongju Market. ","Comedy,  Romance,  Drama,  Family ",Lee Jae Sang,"Chun Ho Jin, Cha Hwa Yun, Lee Jung Eun, Oh Dae Hwan, Lee Min Jung, Lee Sang Yeob",#86
Missing,2020,12,8.6,"A village holds spirits of missing, deceased people. A search to find the missing bodies and discover the truth behind their disappearance occurs.","Thriller,  Mystery,  Supernatural ",Min Yeon Hong,"Go Soo, Heo Joon Ho, Ahn So Hee, Ha Joon, Seo Eun Soo, Song Geon Hee",#87
Stranger 2,2020,16,8.6,"The prosecutor's office and the police find themselves on opposing sides. The prosecutors, including elite prosecutor Woo Tae Ha, want discretionary power over investigations. Meanwhile, the police, including Choi Bit, tries to get complete investigative authority that is independent of the prosecutor's office.","Thriller,  Mystery,  Law,  Drama ",Park Hyun Suk,"Jo Seung Woo, Bae Doo Na, Jeon Hye Jin, Choi Moo Sung, Lee Joon Hyuk, Yoon Se Ah",#88
Designated Survivor,2019,16,8.6,"Park Moo Jin is a former professor of chemistry and now holds the Minister of Environment position. He doesn't have ambition, personal beliefs or political sense. One day, the cabinet is gathered in the National Assembly for the president's address. A terror attack takes place, killing many government officials, including the president and ministers. Park Moo Jin is the highest ranking government official left alive. He doesn't want the position, but he must sit as the acting president for 60 days. Park Moo Jin chases after the person or group responsible for the attack as he grows as a national leader.","Thriller,  Mystery,  Drama,  Political ",Yoo Jong Sun,"Ji Jin Hee, Son Seok Koo, Kang Han Na, Heo Joon Ho, Lee Joon Hyuk, Choi Yoon Young",#89
Juvenile Justice,2022,10,8.6,"Sim Eun Seok is an elite judge with a prickly personality who hates juvenile offenders. After she gets assigned to a local juvenile court, she tries to balance her aversion to minor offenders with firm beliefs on justice and punishment, as she goes out of her way to break custom and administer her own ways of punishing the offenders.","Law, Drama",Hong Jong Chan,"Kim Hye Soo, Kim Mu Yeol, Lee Sung Min, Lee Jung Eun, Lee Sang Hee, Park Ji Yun",#90
Cruel City,2013,20,8.6,Portrays the cruel life of the drug cartels and the story of revenge for a loved one.,"Action,  Thriller,  Romance,  Crime ",Lee Jeong Hyo,"Jung Kyung Ho, Nam Gyu Ri, Lee Jae Yoon, Son Chang Min, Kim Yoo Mi, Choi Moo Sung",#91
My Love from the Star,2013,21,8.6,"Do Min Joon is an alien who landed on Earth 400 years ago during the Joseon Dynasty period. He possesses a near perfect appearance and enhanced physical abilities involving his vision, hearing and speed. Later, he discovers that he has three months left on Earth. And that is when he meets Cheon Song Yi, the biggest Hallyu star in Korea.","Comedy,  Romance,  Drama,  Supernatural ","Oh Choong Hwan, Jang Tae Yoo","Kim Soo Hyun, Jun Ji Hyun, Park Hae Jin, Yoo In Na, Shin Sung Rok, Kim Chang Wan",#92
Mystic Pop-Up Bar,2020,12,8.6,“Mystic Pop-Up Bar” is based on a popular webtoon of the same name and tells the story of a mysterious pojangmacha (outdoor drinking establishment) run by a prickly woman and an innocent part-timer who visit customers in their dreams to help resolve their problems.,"Mystery,  Comedy,  Family,  Fantasy ",Jun Chang Geun,"Hwang Jung Eum, Yook Sung Jae, Choi Won Young, Jung Da Eun, Lee Joon Hyuk, Na In Woo",#93
Age of Youth,2016,12,8.6,"Five girls in their twenties come to live together in a house called ""Belle Epoque,"" which means ""a beautiful time"" in French. Each girl has a particular personality, background, and issues. In addition to the five girls, they believe there is a sixth presence - a ghost living in the house, but each sees the ghost differently. As the girls feel a bond of sympathy and become closer, they also deal with their personal issues as they live out their eventful twenties. The drama follows their struggles and incidents dealing with relationships - within their circles, with dating, and with each other - and a variety of events they are experiencing including credits, part-time jobs, drinking, hopes and dreams.","Friendship,  Romance,  Life,  Youth ",Lee Tae Gon,"Han Ye Ri, Ryu Hwa Young, Park Eun Bin, Han Seung Yeon, Park Hye Soo, Yoon Park",#94
Just Between Lovers,2017,16,8.6,"A major accident takes the lives of 48 people. The lives of the survivors, those who lost loved ones and those connected to the parties blamed for the tragic event are also marked forever. ","Psychological,  Romance,  Melodrama ",Kim Jin Won,"Lee Jun Ho, Won Jin Ah, Lee Ki Woo, Kang Han Na, Kim Hye Joon, Yoon Se Ah",#95
Save Me,2017,16,8.6,"Following the failure of her father's business, Sang Mi and her family move to Muji-gun where they have no friends or relatives. There she meets four young men, Han Sang Hwan, Seok Dong Cheol, Woo Jung Hoon, and Choi Man Hee. When Sang Mi and her family face some trouble, Spiritual Father Baek Jung Ki of Goosunwon offers to help them. However, her family is slowly getting sucked into the pseudo-religious cult and the four young men try to save her.","Action,  Thriller,  Mystery,  Drama ",Kim Sung Soo,"Seo Yea Ji, Ok Taec Yeon, Woo Do Hwan, Jo Sung Ha, Jo Jae Yoon, Park Ji Young",#96
Bad and Crazy,2021,12,8.6,"Soo Yeol, the competent ‘bad boy’ on the police squad, regains his humanity after meeting K, the righteous but ‘crazy’ guy. Despite having a mere high school diploma, Soo Yeol is an accomplished member of the Anti Corruption Unit. He’s ambitious, so he chooses pet cases of his superiors and produces their desired outcomes. Often that means turning a blind eye to injustice, especially if it stands in the way of those preferred results. With promotion time looming and without anyone’s backing, Soo Yeol fears exclusion once again. Congressman Do Yoo Gon had given him some hope of advancement but dashed when the righteous but crazy K entered his life. What can go wrong when the bad boy and the crazy guy join forces?","Action, Thriller, Mystery, Comedy",Yoo Seon Dong,"Lee Dong Wook, Wi Ha Joon, Han Ji Eun, Cha Hak Yeon, Sung Ji Ru, Cha Shi Won",#97
365,2020,24,8.6,"A story where ten people get the chance to go back in time by one year, but unexpectedly mysterious situations start to arise when their fates are changed and twisted in the process.","Thriller,  Mystery,  Drama,  Fantasy ",Kim Kyung Hee,"Lee Joon Hyuk, Nam Ji Hyun, Kim Jee Soo, Lee Sung Wook, Yoon Joo Sang, Ahn Seung Gyun",#98
The Master's Sun,2013,17,8.6,"Joo Joong Won is the stingy and greedy CEO of Kingdom, a conglomerate that includes a major department store and hotel. He meets the gloomy Tae Gong Shil, who started seeing ghosts after an accident. Their lives take a new turn as they work together to deal with the terror and sadness brought about by the spirits, while delving into a kidnapping incident in Joong Won's past. And unknowingly, they fell in love with each other. Edit Translation  English Français Español Português","Horror,  Comedy,  Romance,  Supernatural ",Jin Hyeok,"Gong Hyo Jin, So Ji Sub, Seo In Guk, Kim Yoo Ri, Choi Jung Woo, Kim  Mi Kyung",#99
Avengers Social Club,2017,12,8.6,"Features three women from different walks of life coming together for revenge: a middle-aged fish store owner who envisioned a better life for herself, a housewife, and an heiress who was raised like a delicate greenhouse flower. They’re an unlikely trio who would never otherwise meet, but they join forces to carry out their individual revenge. Although they start out as co-conspirators, along the way they’ll build a strong friendship.","Friendship,  Comedy,  Life,  Drama ","Kwon Seok Jang, Kim Sang Ho","Lee Yo Won, Ra Mi Ran, Myung Se Bin, Lee Jun Young, Choi Byung Mo, Jang Yong",#100
Rebel,2017,30,8.5,"“The culprit who is posing as a royal official is not stealing wealth. He is stealing the hearts and minds of your people, Your Majesty.” There was a divisive figure in the Joseon Dynasty who was a hero to the people but an enemy to the establishment. His name was Hong Gil Dong. King Yeonsangun had royal lineage but was reviled by his people while Hong Gil Dong was born as a slave but succeeded in winning over the hearts of the commoners. The struggle between these two men demonstrate the qualities that a true leader needs. This TV series portrays the life of Hong Gil Dong who survived in a hostile and tyrannical kingdom as he waged a fight against the powerful elites.","Action,  Thriller,  Historical,  Romance ",Kim Jin Man,"Yoon Kyun Sang, Chae Soo Bin, Kim Ji Suk, Lee Ha Nee, Kim Sang Joong, Shim Hee Sub",#101
Nobody Knows,2020,16,8.5,"Detective Young Jin, from the regional investigation unit, has only one thing on her mind: to catch the 'Stigmata' serial killer that murdered her friend 19 years ago. She carries guilt and trauma over the event. She has no friends and lives alone. Her downstairs neighbor’s son, Eun Ho, has built a relationship with her ever since she moved above their apartment. He does menial house chores for her. One day Eun Ho, seems to have fallen off the roof of their apartment building and left in a coma. Young Jin senses foul play and decides to take it upon herself to get to the bottom of it. With the help of Eun Ho’s homeroom teacher, Sun Woo, the both begin to uncover that Eun Ho’s injuries were no accident. Edit Translation  English Русский Italiano Español","Thriller,  Mystery,  Drama,  Melodrama ",Lee Jung Heum,"Kim Seo Hyung, Ryu Deok Hwan, Park Hoon, Ahn Ji Ho, Min Jin Woong, Kang Ye Won",#102
Bad Guys,2014,11,8.5,"To combat rising violent crimes, the Police Chief asks Detective Oh Goo Tak to form a team consisting of criminals. ","Action,  Thriller,  Psychological,  Crime ","Shin Yong Hwi, Kim Jung Min","Kim Sang Joong, Park Hae Jin, Jo Dong Hyuk, Ma Dong Seok, Kang Ye Won, Kang Shin Il",#103
Beautiful World,2019,16,8.5,"This drama is about a boy on the edge of life and death, and his family's quest to find the truth.  Amidst the lies and secrets, mistrust and pain, the family looks for hope in this crazy world.  Mu Jin, is a teacher and a father. His wife, In Ha, runs 'Ho Ho Bakery' and they have a 9th-grade son and an 8th-grade daughter.  For the sake of their kids' education, they move to a different neighborhood. One day, at their new competitive school, Sun Ho gets into an accident, causing him to become brain dead.  The father and mother, filled with great guilt and rage because of the accident, investigate to find out what happened to cause the accident.  Su Ho, Sun Ho's baby sister, also sets out on her own to find out the truth behind her brother's accident.","Life,  School,  Family,  Melodrama ",Park Chan Hong,"Park Hee Soon , Choo Ja Hyun, Oh Man Suk, Cho Yeo Jung, Nam  Da Reum , Kim Hwan Hee",#104
Arthdal Chronicles Part 1,2019,6,8.5,"Set in the fictional land of Arthdal during ancient times(bronze age). Eun Seom was born with a fate to bring disaster to Arthdal, which leads him and his mother, who wants to save him, to endure hardships. Finally, they decide to leave and travel together to a better place. Although Eun Seom grows up in the new land, he is seen as an outcast because he is different from the land's natives. Ta Gon is a war hero of Arthdal. He has paved the way for Arthdal to become a prosperous city and nation and he is the strongest warrior in Arthdal. He dreams of becoming the first king of Arthdal.","Historical,  Romance,  Fantasy,  Political ",Kim Won Suk,"Song Joong Ki, Kim Ji Won, Jang Dong Gun, Kim Ok Bin, Kim Eui Sung, Lee Do Kyung",#105
Kairos,2020,16,8.5,"Living a precarious life as a part-timer at a convenience store, Ae Ri strives to support her mother who is on a waiting list for a heart transplant. Unfortunately, her mother’s worsened physical condition leads her to forgo the long-awaited opportunity for the transplant, and just like that her mother disappears. Things were already chaotic enough for Ae Ri when she receives a phone call from a strange man claiming to be from the same world but 31 days in the future. Ironically, he desperately asks Ae Ri for help. Seo Jin, a father and a husband of a close-knit family, has been living a successful life as the youngest person to become a director at a construction company. One day, it all crumbles down with the kidnapping of his daughter and his wife’s suicide. On the verge of breaking down, he is given an opportunity to restore everything that was lost under one condition, help from a strange woman. To bring his daughter and wife back to life, he makes a phone call as the clock strikes 10:33.","Action,  Thriller,  Drama,  Sci-Fi ","Park Seung Woo, Sung Chi Wook","Shin Sung Rok, Lee Se Young, Ahn Bo Hyun, Nam Gyu Ri, Kang Seung Yoon, Jo Dong In",#106
I Hear Your Voice,2013,18,8.5,"Jang Hye Sung, a bold, sassy, thick-faced, comical, and a materialistic public defender who becomes a lawyer after overcoming poverty and painful memories from her childhood, comes to realization about society and justice after meeting Park Soo Ha, a 19-year-old boy who reads other people’s thoughts and Cha Kwan Woo, an innocent lawyer who lives a disciplined life. Jang Hye Sung is actually Soo Ha's first love after she gave a decisive testimony on his father's murder case 10 years ago and Soo Ha promised to protect her from the killer's threats. Meanwhile, Cha Kwan Woo is Jang Hye Sung's fellow lawyer, a cheerful and an idealistic former cop even though his character is a bit slow, he is nice and pleasant with a firm idea of his principles and justice. Together they will team up to find the justice in the courtroom and solve the toughest cases with less than 1% chance of winning.","Mystery,  Law,  Romance,  Supernatural ",Jo Soo Won,"Lee Jong Suk, Lee Bo Young, Yoon Sang Hyun, Lee Da Hee, Jung Woong In, Yoon Joo Sang",#107
What's Wrong with Secretary Kim,2018,16,8.5,"The series revolves around the narcissistic Lee Young Joon, the vice president of a company run by his family. He is very self-absorbed and thinks highly of himself, so much that he barely acknowledges the people around him. Lee Young Joon has a capable and patient secretary Kim Mi So who has remained by his side and worked diligently for 9 years without any romantic involvement. However, Mi So now wants to set her life & focus on herself so when she decides to resign from her job, hilarious misunderstandings ensue. After 9 years of their strictly-workplace relationship, can it now develop in something more?","Friendship,  Business,  Comedy,  Romance ",Park Joon Hwa,"Park Min Young, Park Seo Joon, Lee Tae Hwan, Pyo Ye Jin, Kim Hye Ok, Kim Byung Ok",#108
Vagabond,2019,16,8.5,"Cha Dal Gun becomes an awakened tiger in the face of his nephew’s death in a mysterious plane crash. As an orphan himself, he had raised his nephew singlehandedly in place of his brother who had passed on. Triggered by the large-scale cover-up of the incident, he sets off on a journey to discover the truth. ","Action,  Thriller,  Mystery,  Crime ",Yoo In Shik,"Lee Seung Gi, Bae Suzy, Shin Sung Rok, Baek  Yoon Shik, Moon Sung Geun, Kim Min Jong",#109
One Ordinary Day,2021,8,8.5,"A drama that explores the criminal justice system from an extremely popular perspective through the fierce story of two men surrounding the murder of a woman. Hyun Soo, an ordinary college student, suddenly becomes the primary suspect in a murder case. Shin Joong Han is the only lawyer willing to help Kim Hyun Soo. Having just barely passed law school, Shin Joong Han's involvement in Kim Hyun Soo's case eventually takes his unremarkable life to new heights.","Thriller, Mystery, Law, Crime",Lee Myung Woo,"Kim Soo Hyun, Cha Seung Won, Lee Seol, Kim Shin Rok, Kim Hong Pa, Kim Sung Gyu",#110
Reply 1997,2012,16,8.5,"Set in the 1990's, the drama centers around a female high school student Shi Won, who idolizes boyband H.O.T and her 5 high school friends in Busan. As the timeline moves back and forth between their past as 18-year-old high schoolers in 1997 and their present as 33-year-olds at their high school reunion dinner in 2012, where one couple will announce that they're getting married.","Comedy,  Romance,  Life,  Family ",Shin Won Ho,"Jung Eun Ji, Seo In Guk, Hoya, Shin So Yool, Eun Ji Won, Lee Si Eon",#111
Doctor John,2019,32,8.5,"“Doctor John” is a medical drama about doctors specializing in pain management. In a refreshing take on the genre, “Doctor John” will portray the doctors’ search for the cause of their patients’ mysterious pain as a thrilling chase, almost like a detective hunting down the perpetrator behind an unsolved crime. ","Mystery,  Romance,  Life,  Medical ",Jo Soo Won,"Ji Sung, Lee Se Young, Lee Kyu Hyung, Hwang Hee, Jung Min Ah, Kwon Hwa Woon",#112
"Hi Bye, Mama!",2020,16,8.5,"It's the story of a mother who died and begins a 49-day long project of reincarnation, and a husband who has barely begun to live a new life after overcoming the pain of losing his wife. Jo Kang Hwa is a skilled thoracic surgeon. After losing his wife four years ago, he had been working as a single father until he got married again two years ago. While he seems like a caring person, he does not offer a hand nor intervene when needed.","Romance, Drama, Melodrama, Supernatural",Yoo Je Won,"Kim Tae Hee, Lee Kyu Hyung, Go Bo Gyeol, Seo Woo Jin, Shin Dong Mi, Oh Eui Shik",#113
Voice,2017,16,8.5,"Popular detective Moo Jin Hyuk who is filled with guilt for his wife’s death, works with professional voice profiler Kang Kwon Joo, whose father is killed, to solve a different crime, chasing for the serial killer responsible for the deaths of their family members.","Thriller, Mystery, Psychological",Kim Hong Seon,"Jang Hyuk, Lee  Ha Na, Baek Sung Hyun, Ye Sung, Son Eun Seo, Kim Jae Wook",#114
Fight For My Way,2017,16,8.5,Can you still go after your dreams without the right background?,"Business,  Comedy,  Romance,  Sports ","Lee Na Jung, Kim Dong Hwi","Park Seo Joon, Kim Ji Won, Ahn Jae Hong, Song  Ha Yoon, Kim Sung Oh, Jin Hee Kyung",#115
Squid Game,2021,9,8.5,"After a failed business venture, the debt-ridden chauffeur Seong Gi Hun lives his life gambling away the money he mooches off his elderly mother while failing to provide for her and his estranged daughter. When his life finally hits rock bottom, he receives an irresistible offer promising him a ₩45.6 billion prize in exchange for winning traditional Korean children's games against 455 other players, among them his childhood friend Cho Sang Woo. Commencing the games, the participants soon learn of the deadly consequences that come with losing.","Action,  Thriller,  Mystery,  Drama ",Hwang Dong Hyuk,"Lee Jung Jae, Park Hae Soo, Jung Ho Yeon, Wi Ha Joon, Anupam Tripathi, Oh Young Soo",#116
W,2016,16,8.5,"Oh Sung Moo, the father of cardiothoracic surgeon Oh Yeon Joo, mysteriously goes missing while writing the last chapter of his webtoon ""W"". Yeon Joo goes to his office looking, but a hand from his monitor suddenly pulls her in, and she finds herself on the rooftop of a building, next to a bloodied man. She manages to save the person, only to realize that he is Kang Cheol, the main character of her father's webtoon. Yeon Joo later discovers she can only enter and leave the webtoon depending on Kang Cheol's feelings.","Thriller, Comedy, Romance, Fantasy",Jeong Dae Yun,"Han Hyo Joo, Lee Jong Suk, Kim Eui Sung, Lee Tae Hwan, Jung Eugene, Lee Si Eon",#117
Queen Seon Duk,2009,62,8.5,"The story of a beautiful queen, who has to give up her love to save the people. A biopic of Queen Seondeok, who was born a princess and later became the ruler of Silla, leaving behind many brilliant achievements.","Historical, Romance, Drama, Political","Park Hong Kyun, Kim Keun Hong","Lee Yo Won, Go Hyun Jung, Park Ye Jin, Yoo Seung Ho, Kim Nam Gil, Uhm Tae Woong",#118
Mad for Each Other,2021,13,8.5,"About two people with their own painful stories who go through a complicated process of hurting and healing while falling in love with each other. No Hwi Oh is a detective in the violent crimes division of the Gangnam Police Station. He thinks that he is doing well until his life suddenly takes a turn and he becomes a “crazy” person who can’t hold in his anger about anything. Lee Min Kyung is a woman who is caught up in her own delusions and compulsions. She had lived an ordinary life as a pretty woman with a respectable job until “that incident” that caused everything in her life to break down. As a result, she was unable to trust anyone and is caught in a prison of her own making. Her delusions also have the unfortunate side effect of making everyone else around her angry.","Comedy, Romance, Drama",Lee Tae Gon,"Oh Yeon Seo, Jung Woo, Lee Su Hyun, Ahn Woo Yeon, Kim Nam Hee, Baek Ji Won",#119
Dali and the Cocky Prince,2021,16,8.5,"As a young boy, Moo Hak grew up in the market as a peddler. Although he is ignorant, he is strong-willed and knows how to make money. He is now the managing director of Dondon F and B, a global restaurant chain that his family started as a small gamjatang diner. However, he isn't dignified and only cares about money. He meets Da Li, the only daughter and child of an upper-class family who runs an art gallery. She has a profound deep knowledge of things. She gets faced with bankruptcy due to her father's sudden death and begins a hard life. Moo Hak and Da Li start a relationship as a creditor and debtor over the art gallery. Will these two polar opposites understand each other and fall in love?","Comedy,  Romance,  Drama ",Lee Jung Sub,"Park Gyu Young, Kim Min Jae, Kwon Yool, Hwang Hee, Yeonwoo, Park Sang Myun",#120
Thirty But Seventeen,2018,32,8.5,"Woo Seo Ri, a violin prodigy at 17 who was about to study in Germany, got into a bus accident and fell into a coma waking up 13 years later. Mentally she is still only 17, while physically she is now 30. Due to a trauma he experienced 13 years before, Gong Woo Jin does not want to have a relationship with others. This series is about a man and a woman whose lives in their own ways essentially stopped when they were 17. Together, they use all their might to try and open the door to the happiness that they once thought had been closed to them.","Music, Mystery, Comedy, Romance",Jo Soo Won,"Shin Hye Sun, Yang Se Jong, Ahn Hyo Seop, Ye Ji Won, Wang Ji Won, Yoon Sun Woo",#121
When the Camellia Blooms,2019,40,8.5,"Dong Baek is a single mother living in the small town of Ongsan. She runs the bar-restaurant Camellia, while also taking care of her son Pil Gu. The people of Ongsan frequently gossip about Dong Baek. She grew up as an orphan, is a single mother and runs a bar where many of the men in Ongsan frequent. Regardless of what the locals may whisper about Dong Baek, local police officer Hwang Yong Shik is deeply in love with her. Meanwhile, Dong Baek's ex-boyfriend Kang Jong Ryeol suddenly reappears in her life. He is a famous baseball player, that hid their relationship when they dated. While Dong Baek tries to find happiness, something truly sinister lurks in the background. A serial killer roams Ongsan and Dong Baek may be a target.","Thriller,  Comedy,  Romance,  Drama,  Family ","Kang Min Kyung, Cha Young Hoon","Gong Hyo Jin, Kang Ha Neul, Kim Ji Suk, Son Dam Bi, Oh Jung Se, Yeom Hye Ran",#122
Be Melodramatic,2019,16,8.5,"Im Jin Joo, Lee Eun Jung, and Hwang Han Joo are best friends who are  30-years-old. Hwang Han Joo is the head of a marketing team for a drama production company. She is a single mother who struggles to balance her work and personal life as she is raising a kid. Im Jin Joo is a drama writer with a lot of emotional ups and downs. Her personality is unique, talking to a luxurious purse at times. Even though she is a drama writer, she tries to write her scripts in a literary style. Lee Eun Jung is a documentary director. She runs her own  production company, although she's the only employee. One of her documentaries  surprisingly becomes popular overnight.","Comedy, Romance, Life, Melodrama",Kim Hye Young,"Chun Woo Hee, Jeon Yeo Been, Han Ji Eun, Ahn Jae Hong, Gong Myung, Lee Joo Bin",#123
Itaewon Class,2020,16,8.5,"Park Saeroyi's life has been turned upside down after he gets expelled from school for punching a bully and his father is killed in an accident. Following his father's steps, he opens a pub named ""DanBam"" in Itaewon and, along with his manager and staff, strive towards success and reaching greater heights.","Business, Romance, Life, Drama","Kang Min Gu, Kim Seong Yoon","Park Seo Joon, Kim Da Mi, Kwon Na Ra, Yoo Jae Myung, Ahn Bo Hyun, Kim Dong Hee",#124
